Node,Subest,Feeder,
ST_MAT      ,True        ,True                     ,
P1RDM1      ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT4715 ,
P1RDM2      ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT4715 ,
P1RDM3      ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT6578 ,
P1RDM4      ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT6578 ,
P1RDM10     ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT6578 ,
P1RDM11     ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT6578 ,
P1RDM12     ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT6634 ,
P1RDM13     ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT6634 ,
P1RDM19     ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT4715 ,
P1RDM20     ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT4715 ,
P1RDM21     ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT4715 ,
P1RDM22     ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT4715 ,
P1RDM23     ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT4715 ,
P1RDM25     ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT4715 ,
P1RDM41     ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5851 ,
P1RDM42     ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5851 ,
P1RDM43     ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5851 ,
P1RDM44     ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5185 ,
P1RDM45     ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5185 ,
P1RDM46     ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5481 ,
P1RDM50     ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5185 ,
P1RDM58     ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5481 ,
P1RDM59     ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5481 ,
P1RDM62     ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5481 ,
P1RDM63     ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5481 ,
P1RDM65     ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5481 ,
