Code,Phases,NVolt_kV,DemP_kW,DemQ_kVAr,Subest,Feeder,Pinst_kW,Qinst_kVAr,Yearly_kWh,NumCust,
P1RLV1     ,1 ,0.42  ,5.62    ,1.14   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT4715 ,14.05   ,2.85   ,48495.11   ,1  ,
P1RLV2     ,1 ,0.42  ,0.83    ,0.27   ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT6578 ,2.07    ,0.68   ,5262.52    ,1  ,
P1RLV3     ,1 ,0.42  ,5.45    ,1.11   ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT6634 ,13.63   ,2.77   ,32544.76   ,1  ,
P1RLV4     ,1 ,0.42  ,3.12    ,1.03   ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT6578 ,7.80    ,2.56   ,19814.38   ,1  ,
P1RLV5     ,1 ,0.42  ,8.37    ,1.70   ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT6578 ,20.92   ,4.25   ,49931.88   ,3  ,
P1RLV6     ,1 ,0.42  ,6.92    ,1.41   ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT6578 ,17.31   ,3.51   ,41309.01   ,2  ,
P1RLV7     ,1 ,0.42  ,5.04    ,1.02   ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT6634 ,12.59   ,2.56   ,30059.34   ,1  ,
P1RLV8     ,1 ,0.42  ,5.71    ,1.16   ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT6634 ,14.28   ,2.90   ,34098.73   ,1  ,
P1RLV9     ,1 ,0.42  ,12.78   ,2.60   ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT6634 ,31.96   ,6.49   ,76294.79   ,7  ,
P1RLV10    ,1 ,0.42  ,8.19    ,1.66   ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT2397 ,20.47   ,4.16   ,48869.31   ,3  ,
P1RLV11    ,1 ,0.42  ,4.96    ,1.01   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT4715 ,12.40   ,2.52   ,29606.12   ,1  ,
P1RLV12    ,1 ,0.42  ,4.87    ,0.99   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT4715 ,12.18   ,2.47   ,29073.00   ,1  ,
P1RLV13    ,1 ,0.42  ,7.53    ,1.53   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT4715 ,18.82   ,3.82   ,44931.66   ,3  ,
P1RLV14    ,1 ,0.42  ,0.18    ,0.06   ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT2397 ,0.45    ,0.15   ,1140.10    ,1  ,
P1RLV15    ,1 ,0.42  ,6.87    ,1.39   ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT6634 ,17.17   ,3.49   ,40991.52   ,2  ,
P1RLV16    ,1 ,0.42  ,6.80    ,1.38   ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT6634 ,16.99   ,3.45   ,40552.18   ,2  ,
P1RLV17    ,1 ,0.42  ,5.60    ,1.14   ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT5979 ,13.99   ,2.84   ,33389.68   ,1  ,
P1RLV18    ,1 ,0.42  ,4.94    ,1.00   ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT5979 ,12.36   ,2.51   ,29496.04   ,1  ,
P1RLV19    ,1 ,0.42  ,2.42    ,0.49   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT6999 ,6.04    ,1.23   ,12614.57   ,1  ,
P1RLV20    ,1 ,0.42  ,2.91    ,0.96   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5851 ,7.28    ,2.39   ,18495.08   ,1  ,
P1RLV21    ,1 ,0.42  ,11.35   ,2.30   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT6999 ,28.37   ,5.76   ,67730.00   ,6  ,
P1RLV22    ,1 ,0.42  ,6.37    ,1.29   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5851 ,15.92   ,3.23   ,38012.66   ,2  ,
P1RLV23    ,1 ,0.42  ,4.99    ,1.01   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5851 ,12.46   ,2.53   ,29751.85   ,1  ,
P1RLV24    ,1 ,0.42  ,7.18    ,1.46   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5185 ,17.94   ,3.64   ,42833.39   ,2  ,
