Code,NodeA,NodeB,Tap(pu),TapMin,TapMax,Subest,Feeder,
CReguladorTension(R:P1RDT4165-P1RDT7015)      ,P1RDT4165   ,P1RDT7015 ,1.07794  ,0.9000 ,1.1000 ,P1RHS7_1247 ,P1RHS7_1247 -> P1RDT1291 ,
CReguladorTension(R:P1RDT5658-P1RDT7010)      ,P1RDT7010   ,P1RDT5658 ,1.1      ,0.9000 ,1.1000 ,P1RHS7_1247 ,P1RHS7_1247 -> P1RDT7669 ,
CReguladorTension(R:P1RDT6277-P1RDT682)       ,P1RDT682    ,P1RDT6277 ,1.04834  ,0.9000 ,1.1000 ,P1RHS2_1247 ,P1RHS2_1247 -> P1RDT1528 ,
CReguladorTension(R:P1RDT4523-P1RDT5233)      ,P1RDT5233   ,P1RDT4523 ,1.04653  ,0.9000 ,1.1000 ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT2874 ,
CReguladorTension(R:P1RDT8207-P1RHS3_1247)    ,P1RHS3_1247 ,P1RDT8207 ,1.02444  ,0.9000 ,1.1000 ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT8207 ,
CReguladorTension(R:P1RDT1628-P1RDT2910)      ,P1RDT2910   ,P1RDT1628 ,0.999081 ,0.9000 ,1.1000 ,P1RHS7_1247 ,P1RHS7_1247 -> P1RDT1291 ,
CReguladorTension(R:P1RDT428-P1RDT6205)       ,P1RDT428    ,P1RDT6205 ,1.05489  ,0.9000 ,1.1000 ,P1RHS7_1247 ,P1RHS7_1247 -> P1RDT1291 ,
CReguladorTension(R:P1RDT5658-P1RDT8183)      ,P1RDT5658   ,P1RDT8183 ,0.969112 ,0.9000 ,1.1000 ,P1RHS7_1247 ,P1RHS7_1247 -> P1RDT7669 ,
CReguladorTension(R:P1RDT1302-P1RDT5194)      ,P1RDT1302   ,P1RDT5194 ,1.0049   ,0.9000 ,1.1000 ,P1RHS2_1247 ,P1RHS2_1247 -> P1RDT1528 ,
CReguladorTension(R:P1RDT6882-P1RDT803)       ,P1RDT6882   ,P1RDT803  ,1.03146  ,0.9000 ,1.1000 ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT5979 ,
CReguladorTension(R:P1RDT3390-P1RDT3879)      ,P1RDT3390   ,P1RDT3879 ,1.02818  ,0.9000 ,1.1000 ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT6634 ,
CReguladorTension(R:P1RDT1726-P1RDT6637)      ,P1RDT1726   ,P1RDT6637 ,1.02126  ,0.9000 ,1.1000 ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT4715 ,
CReguladorTension(R:P1RDT5337-P1RDT5577)      ,P1RDT5577   ,P1RDT5337 ,1.0038   ,0.9000 ,1.1000 ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5185 ,
CReguladorTension(R:P1RDT4482-P1RDT7247)      ,P1RDT4482   ,P1RDT7247 ,1.03324  ,0.9000 ,1.1000 ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5481 ,
CReguladorTension(R:P1RDT4523-P1RDT628)       ,P1RDT4523   ,P1RDT628  ,0.994098 ,0.9000 ,1.1000 ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT2874 ,
CReguladorTension(R:P1RDT363-P1RDT4688)       ,P1RDT363    ,P1RDT4688 ,0.987325 ,0.9000 ,1.1000 ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT3467 ,
CReguladorTension(R:P1RDT5687-P1RDT7753)      ,P1RDT7753   ,P1RDT5687 ,1.01907  ,0.9000 ,1.1000 ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT8207 ,
CReguladorTension(R:P1RDT2126-P1RDT7520)      ,P1RDT2126   ,P1RDT7520 ,1.0491   ,0.9000 ,1.1000 ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT8208 ,
CReguladorTension(R:P1RDT4669-P1RDT8196)      ,P1RDT8196   ,P1RDT4669 ,1.01984  ,0.9000 ,1.1000 ,P1RHS5_1247 ,P1RHS5_1247 -> P1RDT1339 ,
CReguladorTension(R:P1RDT1107-P1RDT6675)      ,P1RDT6675   ,P1RDT1107 ,1.0154   ,0.9000 ,1.1000 ,P1RHS5_1247 ,P1RHS5_1247 -> P1RDT8064 ,
CReguladorTension(R:P1RDT1123-P1RDT2769)P1RD2 ,P1RDT1123   ,P1RDT2769 ,1.00398  ,0.9000 ,1.1000 ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT8208 ,
