Classification,Validation Metric,Partition,Partition Groups,Typical,Uncommon,Rare,Grade,Typical Region,Uncommon Region,Included Utilities,# of Validation Feeders,Units,Method
Load specification,Distribution Transformer Total Capacity,"[0, 1610.198) MVA per sq. mile",1,0.9,0.1,0,Pass,"[0.174, 4.039], [5.457, 27.231]","[0, 34.447]","ACE, DPL, Duke, Pepco",1735,MVA,hdr
Load specification,Total Demand,"[0, 1610.198) MVA per sq. mile",1,0.2,0.7666666666666667,0.03333333333333333,Pass,"[4320.6, 13077.4]","[1038.075, 15760.7]",Duke,808,kW,quantile
Load specification,Total Reactive Power,"[0, 1610.198) MVA per sq. mile",1,0,0.13333333333333333,0.8666666666666667,Fail,"[4320.6, 13077.4]","[1038.075, 15760.7]",Duke,808,kVAr,quantile
Physical layout/topology,Average Degree,"[0, 1610.198) MVA per sq. mile",1,0.6333333333333333,0.36666666666666664,0,Pass,"[1.998, 2.06]","[1.952, 2.076]",Duke,1627,Degree,quantile
Realistic electrical design and equipment parameters,MV 1 & 2 Phase Line Length,"[0, 1610.198) MVA per sq. mile",1,1,0,0,Pass,"[0, 57.161]","[0, 130.849]","ACE, DPL, Duke, Pepco",1686,Miles,hdr
Realistic electrical design and equipment parameters,Ratio of MV 1 & 2 Phase Line Length to Number of Customers,"[0, 1610.198) MVA per sq. mile",1,1,0,0,Pass,"[0.017, 0.205]","[0, 0.306]",Duke,1577,Miles per Customer,quantile
Realistic electrical design and equipment parameters,Ratio of MV 3 Phase Line Length to Number of Customers,"[0, 1610.198) MVA per sq. mile",1,0.9666666666666667,0.03333333333333333,0,Pass,"[0.008, 0.099]","[0.002, 0.848]",Duke,1577,Miles per Customer,quantile
Realistic electrical design and equipment parameters,MV 3 Phase Line Length,"[0, 1610.198) MVA per sq. mile",1,0.4,0.6,0,Pass,"[0.139, 18.416]","[0, 35.522]","ACE, DPL, Duke, Pepco",1735,Miles,hdr
Realistic electrical design and equipment parameters,MV Overhead 1 & 2 Phase Line Length,"[0, 1610.198) MVA per sq. mile",1,1,0,0,Pass,"[0, 38.989]","[0, 95.808], [103.219, 113.924]","ACE, DPL, Duke, Pepco",1685,Miles,hdr
Realistic electrical design and equipment parameters,MV Overhead 3 Phase Line Length,"[0, 1610.198) MVA per sq. mile",1,0.3,0.7,0,Pass,"[0, 16.577]","[0, 34.582]","ACE, DPL, Duke, Pepco",1722,Miles,hdr
Realistic electrical design and equipment parameters,Percent of Overhead 1 & 2 Phase Lines,"[0, 1610.198) MVA per sq. mile",1,1,0,0,Pass,"[0, 0.162], [0.416, 1]","[0, 1]","ACE, DPL, Duke, Pepco",1589,% Overhead,hdr
Realistic electrical design and equipment parameters,Percent of Overhead 3 Phase Lines,"[0, 1610.198) MVA per sq. mile",1,1,0,0,Pass,"[0.669, 1]","[0.28, 1]","ACE, DPL, Duke, Pepco",1670,% Overhead,hdr
Realistic physical size,Number of Customers,"[0, 1610.198) MVA per sq. mile",1,0.9666666666666667,0.03333333333333333,0,Pass,"[92.399, 839.466]","[4, 1263.73]",Duke,1577,Number of Customers,quantile
Reconfiguration options,Number of Breakers,"[0, 1610.198) MVA per sq. mile",1,1,0,0,Pass,"[0, 1]","[0, 1]","ACE, DPL, Duke, Pepco",1735,# of Breakers,quantile
Reconfiguration options,Number of Fuses,"[0, 1610.198) MVA per sq. mile",1,1,0,0,Pass,"[10, 217.6]","[1, 312.95]","ACE, DPL, Duke, Pepco",1735,# of Fuses,quantile
Reconfiguration options,Number of Reclosers,"[0, 1610.198) MVA per sq. mile",1,1,0,0,Pass,"[0, 8]","[0, 13]","ACE, DPL, Duke, Pepco",1735,# of Reclosers,quantile
Reconfiguration options,Number of Regulators,"[0, 1610.198) MVA per sq. mile",1,1,0,0,Pass,"[0, 8]","[0, 13]","ACE, DPL, Duke, Pepco",1735,# of Regulators,quantile
Reconfiguration options,Number of Sectionalizers,"[0, 1610.198) MVA per sq. mile",1,1,0,0,Pass,"[0, 2]","[0, 4]",Duke,1627,# of Sectionalizers,quantile
Reconfiguration options,Number of Switches,"[0, 1610.198) MVA per sq. mile",1,0.6666666666666666,0.2,0.13333333333333333,Fail,"[7, 520]","[1, 757]",Duke,1627,# of Switches,quantile
Voltage levels & control schemes,Number of Capacitor Banks,"[0, 1610.198) MVA per sq. mile",1,1,0,0,Pass,"[0, 4]","[0, 5]","ACE, DPL, Duke, Pepco",1735,# of Capacitor Banks,quantile
