Substation Feeder Num._Cons._LV Num._Cons._MV Num._Dist._Transf. Size_Dist._Transf._(kVA) Num._Capac. Num._Volt._Reg. Len_LV Len_MV Len_MV_1P Len_MV_2P Len_MV_3P Avg_Year Avg_Land_value_(USD/km2) Rural_(%) Urban_(%) Residential_(%) Commercial_(%) Industrial_(%) County Config_subest
P1RHS0_1247 P1RHS0_1247->P1RDT5663 369 0 152 3815 0 0 9.89269 72.1029 46.7435 0 25.3594 1976 523.959 100 0 73.4417 0.542005 26.0163 Travis delta-wye
P1RHS0_1247 P1RHS0_1247->P1RDT6854 589 1 205 8100 0 0 14.6474 66.184 41.7756 0 24.4084 1987 3821.74 100 0 71.3559 5.9322 22.7119 Travis delta-wye
P1RHS1_1247 P1RHS1_1247->P1RDT2397 306 0 144 4285 0 0 8.90911 47.1175 27.7026 0 19.4149 1989 1015.23 100 0 82.0261 1.96078 16.0131 Travis delta-wye
P1RHS1_1247 P1RHS1_1247->P1RDT5979 668 0 262 9840 0 1 15.5916 56.9493 22.2465 0 34.7028 1992 4598.81 100 0 86.3772 4.64072 8.98204 Travis delta-wye
P1RHS1_1247 P1RHS1_1247->P1RDT6578 329 0 144 3395 0 0 9.75496 71.9389 41.5179 0 30.421 1990 1281.62 100 0 87.234 0.303951 12.462 Travis delta-wye
P1RHS1_1247 P1RHS1_1247->P1RDT6634 914 0 358 9430 0 1 22.9998 95.4577 56.2866 0 39.1711 1991 1135.08 100 0 97.1554 0 2.84464 Travis delta-wye
P1RHS2_1247 P1RHS2_1247->P1RDT1528 474 1 189 10050 0 2 10.2744 57.2314 19.3881 0 37.8433 1992 2039.61 100 0 80.2105 10.7368 9.05263 Travis delta-wye
P1RHS2_1247 P1RHS2_1247->P1RDT3039 887 0 330 10585 0 0 21.5026 67.1956 30.1306 0 37.065 1994 1143.02 100 0 83.991 5.29876 10.7103 Travis delta-wye
P1RHS2_1247 P1RHS2_1247->P1RDT3426 676 0 269 7995 0 0 18.9438 62.7852 35.9583 0 26.8269 1984 1062.53 100 0 81.8047 1.47929 16.716 Travis delta-wye
P1RHS2_1247 P1RHS2_1247->P1RDT4805 460 0 189 4810 0 0 10.9081 52.4619 28.0143 0 24.4476 1984 798.19 100 0 83.2609 1.08696 15.6522 Travis delta-wye
P1RHS3_1247 P1RHS3_1247->P1RDT2378 741 0 296 8395 0 0 23.5052 74.2711 47.2161 0 27.0549 1985 510.191 100 0 90.6883 1.07962 8.23212 Travis delta-wye
