Node,Code,Phases,NomV_kV,Size_kVAr,Subest,Feeder,
P1UMV24    ,P1UC0   ,3 ,12.47 ,450.00 ,P1UHS0_1247  ,P1UHS0_1247 -> P1UDT2142   ,
P1UDT13040 ,P1UC1   ,3 ,12.47 ,450.00 ,P1UHS0_1247  ,P1UHS0_1247 -> P1UDT2142   ,
P1UDT8413  ,P1UC2   ,3 ,12.47 ,450.00 ,P1UHS0_1247  ,P1UHS0_1247 -> P1UDT12703  ,
P1UDT10725 ,P1UC3   ,3 ,12.47 ,450.00 ,P1UHS0_1247  ,P1UHS0_1247 -> P1UDT12703  ,
P1UDT22547 ,P1UC4   ,3 ,12.47 ,450.00 ,P1UHS0_1247  ,P1UHS0_1247 -> P1UDT2142   ,
P1UDT22991 ,P1UC5   ,3 ,12.47 ,600.00 ,P1UHS1_1247  ,P1UHS1_1247 -> P1UDT138    ,
P1UDT23935 ,P1UC6   ,3 ,12.47 ,450.00 ,P1UHS1_1247  ,P1UHS1_1247 -> P1UDT138    ,
P1UDT10331 ,P1UC7   ,3 ,12.47 ,450.00 ,P1UHS1_1247  ,P1UHS1_1247 -> P1UDT14149  ,
P1UDT1349  ,P1UC8   ,3 ,12.47 ,450.00 ,P1UHS1_1247  ,P1UHS1_1247 -> P1UDT138    ,
P1UDT20455 ,P1UC9   ,3 ,12.47 ,300.00 ,P1UHS1_1247  ,P1UHS1_1247 -> P1UDT138    ,
P1UDT18764 ,P1UC10  ,3 ,12.47 ,600.00 ,P1UHS2_1247  ,P1UHS2_1247 -> P1UDT9621   ,
P1UMV33    ,P1UC11  ,3 ,12.47 ,450.00 ,P1UHS2_1247  ,P1UHS2_1247 -> P1UDT18369  ,
P1UMV35    ,P1UC12  ,3 ,12.47 ,450.00 ,P1UHS2_1247  ,P1UHS2_1247 -> P1UDT8846   ,
P1UMV45    ,P1UC13  ,3 ,12.47 ,300.00 ,P1UHS2_1247  ,P1UHS2_1247 -> P1UDT18962  ,
P1UDT22420 ,P1UC14  ,3 ,12.47 ,450.00 ,P1UHS2_1247  ,P1UHS2_1247 -> P1UDT9621   ,
P1UDT15041 ,P1UC15  ,3 ,12.47 ,300.00 ,P1UHS2_1247  ,P1UHS2_1247 -> P1UDT18369  ,
P1UDT5857  ,P1UC16  ,3 ,12.47 ,450.00 ,P1UHS2_1247  ,P1UHS2_1247 -> P1UDT9621   ,
P1UDT8481  ,P1UC17  ,3 ,12.47 ,300.00 ,P1UHS2_1247  ,P1UHS2_1247 -> P1UDT8846   ,
P1UMV9     ,P1UC18  ,3 ,12.47 ,300.00 ,P1UHS2_1247  ,P1UHS2_1247 -> P1UDT899    ,
P1UDT24137 ,P1UC19  ,3 ,12.47 ,450.00 ,P1UHS3_1247  ,P1UHS3_1247 -> P1UDT13260  ,
P1UDT15931 ,P1UC20  ,3 ,12.47 ,300.00 ,P1UHS3_1247  ,P1UHS3_1247 -> P1UDT13260  ,
P1UDT22645 ,P1UC21  ,3 ,12.47 ,300.00 ,P1UHS3_1247  ,P1UHS3_1247 -> P1UDT13260  ,
P1UDT6388  ,P1UC22  ,3 ,12.47 ,600.00 ,P1UHS4_1247  ,P1UHS4_1247 -> P1UDT7282   ,
P1UDT5549  ,P1UC23  ,3 ,12.47 ,450.00 ,P1UHS4_1247  ,P1UHS4_1247 -> P1UDT21090  ,
P1UMV5     ,P1UC24  ,3 ,12.47 ,600.00 ,P1UHS4_1247  ,P1UHS4_1247 -> P1UDT7282   ,
P1UDT18685 ,P1UC25  ,3 ,12.47 ,450.00 ,P1UHS5_1247  ,P1UHS5_1247 -> P1UDT19613  ,
P1UDT2425  ,P1UC26  ,3 ,12.47 ,450.00 ,P1UHS5_1247  ,P1UHS5_1247 -> P1UDT19613  ,
P1UMV6     ,P1UC27  ,3 ,12.47 ,450.00 ,P1UHS5_1247  ,P1UHS5_1247 -> P1UDT13240  ,
P1UDT21856 ,P1UC28  ,3 ,12.47 ,300.00 ,P1UHS5_1247  ,P1UHS5_1247 -> P1UDT19613  ,
P1UDT19793 ,P1UC29  ,3 ,12.47 ,300.00 ,P1UHS5_1247  ,P1UHS5_1247 -> P1UDT21449  ,
P1UDT22650 ,P1UC30  ,3 ,12.47 ,450.00 ,P1UHS6_1247  ,P1UHS6_1247 -> P1UDT322    ,
P1UDT17776 ,P1UC31  ,3 ,12.47 ,450.00 ,P1UHS6_1247  ,P1UHS6_1247 -> P1UDT322    ,
P1UDT3340  ,P1UC32  ,3 ,12.47 ,450.00 ,P1UHS6_1247  ,P1UHS6_1247 -> P1UDT14764  ,
P1UDT12705 ,P1UC33  ,3 ,12.47 ,300.00 ,P1UHS6_1247  ,P1UHS6_1247 -> P1UDT322    ,
P1UDT2128  ,P1UC34  ,3 ,12.47 ,450.00 ,P1UHS6_1247  ,P1UHS6_1247 -> P1UDT322    ,
P1UDT12210 ,P1UC35  ,3 ,12.47 ,450.00 ,P1UHS7_1247  ,P1UHS7_1247 -> P1UDT14301  ,
P1UDT15348 ,P1UC36  ,3 ,12.47 ,450.00 ,P1UHS7_1247  ,P1UHS7_1247 -> P1UDT1702   ,
P1UDT19905 ,P1UC37  ,3 ,12.47 ,450.00 ,P1UHS7_1247  ,P1UHS7_1247 -> P1UDT1702   ,
P1UDT2874  ,P1UC38  ,3 ,12.47 ,450.00 ,P1UHS8_1247  ,P1UHS8_1247 -> P1UDT4671   ,
P1UDT1978  ,P1UC39  ,3 ,12.47 ,450.00 ,P1UHS8_1247  ,P1UHS8_1247 -> P1UDT22258  ,
P1UDT23153 ,P1UC40  ,3 ,12.47 ,450.00 ,P1UHS8_1247  ,P1UHS8_1247 -> P1UDT2544   ,
P1UMV52    ,P1UC41  ,3 ,12.47 ,450.00 ,P1UHS8_1247  ,P1UHS8_1247 -> P1UDT4671   ,
P1UDT18717 ,P1UC42  ,3 ,12.47 ,450.00 ,P1UHS8_1247  ,P1UHS8_1247 -> P1UDT22258  ,
P1UDT25294 ,P1UC43  ,3 ,12.47 ,450.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT6854   ,
P1UMV12    ,P1UC44  ,3 ,12.47 ,450.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT4409   ,
P1UDT15825 ,P1UC45  ,3 ,12.47 ,300.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT6854   ,
P1UDT21231 ,P1UC46  ,3 ,12.47 ,300.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT21523  ,
P1UMV3     ,P1UC47  ,3 ,12.47 ,300.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT4409   ,
P1UDT2859  ,P1UC48  ,3 ,12.47 ,300.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT21819  ,
P1UMV17    ,P1UC49  ,3 ,12.47 ,450.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT6854   ,
P1UDT2869  ,P1UC50  ,3 ,12.47 ,300.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT25123  ,
P1UDT13205 ,P1UC51  ,3 ,12.47 ,300.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT13187  ,
P1UDT22185 ,P1UC52  ,3 ,12.47 ,300.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT4409   ,
