Code,Phases,NVolt_kV,DemP_kW,DemQ_kVAr,Subest,Feeder,Pinst_kW,Qinst_kVAr,Yearly_kWh,NumCust,
P2ULV1     ,1 ,0.42  ,6.40    ,1.30   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT1124  ,16.01   ,3.25   ,38211.38   ,2   ,
P2ULV2     ,1 ,0.42  ,5.56    ,1.13   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT1124  ,13.91   ,2.82   ,33203.98   ,1   ,
P2ULV3     ,1 ,0.42  ,5.59    ,1.13   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT1124  ,13.97   ,2.84   ,33350.97   ,1   ,
P2ULV4     ,1 ,0.42  ,8.71    ,1.77   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT1124  ,21.77   ,4.42   ,51955.20   ,4   ,
P2ULV5     ,1 ,0.42  ,5.90    ,1.20   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT6420  ,14.75   ,3.00   ,35216.04   ,1   ,
P2ULV6     ,1 ,0.42  ,5.77    ,1.17   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT6420  ,14.41   ,2.93   ,34408.88   ,1   ,
P2ULV7     ,1 ,0.42  ,7.78    ,1.58   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT1124  ,19.45   ,3.95   ,46440.45   ,3   ,
P2ULV8     ,1 ,0.42  ,5.26    ,1.07   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT1124  ,13.16   ,2.67   ,31417.87   ,1   ,
P2ULV9     ,1 ,0.42  ,4.37    ,1.44   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT1124  ,10.92   ,3.59   ,27727.27   ,1   ,
P2ULV10    ,3 ,0.42  ,25.98   ,8.54   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT1124  ,64.95   ,21.35  ,164967.30  ,1   ,
