Classification,Validation Metric,Partition,Partition Groups,Typical,Uncommon,Rare,Grade,Typical Region,Uncommon Region,Included Utilities,# of Validation Feeders,Units,Method
Load specification,Distribution Transformer Total Capacity,"[0, 1610.198) MVA per sq. mile",1,0.8,0.2,0,Pass,"[0.174, 4.039], [5.457, 27.231]","[0, 34.447]","ACE, DPL, Duke, Pepco",1735,MVA,hdr
Load specification,Distribution Transformer Total Capacity,"[1610.198, 3802.112] MVA per sq. mile",1,0.631578947368421,0.3157894736842105,0.05263157894736842,Partially Pass,"[3.975, 8.383], [10.248, 30.425]","[1.262, 36.868]","ACE, DPL, Duke, Pepco",1930,MVA,hdr
Load specification,Distribution Transformer Total Capacity,> 3802.112 MVA per sq. mile,1,0.95,0.05,0,Pass,"[6.725, 33.872]","[2.439, 47.751]","ACE, DPL, Duke, Pepco",1990,MVA,hdr
Load specification,Total Demand,"[0, 1610.198) MVA per sq. mile",1,0,0.5333333333333333,0.4666666666666667,Fail,"[4320.6, 13077.4]","[1038.075, 15760.7]",Duke,808,kW,quantile
Load specification,Total Demand,"[1610.198, 3802.112] MVA per sq. mile",1,0,0.2631578947368421,0.7368421052631579,Fail,"[7008, 14363]","[5219.65, 16923.625]",Duke,395,kW,quantile
Load specification,Total Demand,> 3802.112 MVA per sq. mile,1,0.6,0.4,0,Pass,"[4872.9, 19929.6]","[2162.35, 23368.725]",Duke,32,kW,quantile
Load specification,Total Reactive Power,"[0, 1610.198) MVA per sq. mile",1,0,0,1,Fail,"[4320.6, 13077.4]","[1038.075, 15760.7]",Duke,808,kVAr,quantile
Load specification,Total Reactive Power,"[1610.198, 3802.112] MVA per sq. mile",1,0,0,1,Fail,"[7008, 14363]","[5219.65, 16923.625]",Duke,395,kVAr,quantile
Load specification,Total Reactive Power,> 3802.112 MVA per sq. mile,1,0,0.1,0.9,Fail,"[4872.9, 19929.6]","[2162.35, 23368.725]",Duke,32,kVAr,quantile
Physical layout/topology,Average Degree,"[0, 1610.198) MVA per sq. mile",1,0.26666666666666666,0.6666666666666666,0.06666666666666667,Partially Pass,"[1.998, 2.06]","[1.952, 2.076]",Duke,1627,Degree,quantile
Physical layout/topology,Average Degree,"[1610.198, 3802.112] MVA per sq. mile",1,0.8421052631578947,0.10526315789473684,0.05263157894736842,Partially Pass,"[1.995, 2.061]","[1.983, 2.081]",Duke,1652,Degree,quantile
Physical layout/topology,Average Degree,> 3802.112 MVA per sq. mile,1,1,0,0,Pass,"[1.991, 2.047]","[1.918, 2.103]",Duke,1416,Degree,quantile
Realistic electrical design and equipment parameters,MV 1 & 2 Phase Line Length,"[0, 1610.198) MVA per sq. mile",1,1,0,0,Pass,"[0, 57.161]","[0, 130.849]","ACE, DPL, Duke, Pepco",1686,Miles,hdr
Realistic electrical design and equipment parameters,MV 1 & 2 Phase Line Length,"[1610.198, 3802.112] MVA per sq. mile",1,1,0,0,Pass,"[0, 111.625]","[0, 219.267]","ACE, DPL, Duke, Pepco",1900,Miles,hdr
Realistic electrical design and equipment parameters,MV 1 & 2 Phase Line Length,> 3802.112 MVA per sq. mile,1,1,0,0,Pass,"[0, 57.873]","[0, 109.796], [115.566, 122.297]","ACE, DPL, Duke, Pepco",1905,Miles,hdr
Realistic electrical design and equipment parameters,Ratio of MV 1 & 2 Phase Line Length to Number of Customers,"[0, 1610.198) MVA per sq. mile",1,0.6,0.4,0,Pass,"[0.017, 0.205]","[0, 0.306]",Duke,1577,Miles per Customer,quantile
Realistic electrical design and equipment parameters,Ratio of MV 1 & 2 Phase Line Length to Number of Customers,"[1610.198, 3802.112] MVA per sq. mile",1,0.5789473684210527,0.42105263157894735,0,Pass,"[0.011, 0.184]","[0, 0.244]",Duke,1630,Miles per Customer,quantile
Realistic electrical design and equipment parameters,Ratio of MV 1 & 2 Phase Line Length to Number of Customers,> 3802.112 MVA per sq. mile,1,1,0,0,Pass,"[0.005, 0.098]","[0, 0.273]",Duke,1250,Miles per Customer,quantile
Realistic electrical design and equipment parameters,Ratio of MV 3 Phase Line Length to Number of Customers,"[0, 1610.198) MVA per sq. mile",1,0.7333333333333333,0.26666666666666666,0,Pass,"[0.008, 0.099]","[0.002, 0.848]",Duke,1577,Miles per Customer,quantile
