Substation Feeder Num._Cons._LV Num._Cons._MV Num._Dist._Transf. Size_Dist._Transf._(kVA) Num._Capac. Num._Volt._Reg. Len_LV Len_MV Len_MV_1P Len_MV_2P Len_MV_3P Avg_Year Avg_Land_value_(USD/km2) Rural_(%) Urban_(%) Residential_(%) Commercial_(%) Industrial_(%) County Config_subest
P2UHS0_1247 P2UHS0_1247->P2UDT1587 630 0 142 6825 1 0 11.0178 17.7263 10.2536 0 7.47274 2005 1062.96 0 100 93.8095 0.952381 5.2381 Travis delta-wye
P2UHS0_1247 P2UHS0_1247->P2UDT2514 253 0 58 2825 1 0 5.56725 4.99439 2.07439 0 2.92 2003 935.163 0 100 99.6047 0 0.395257 Travis delta-wye
P2UHS0_1247 P2UHS0_1247->P2UDT4999 2 0 2 50 0 0 0.0360041 1.07684 0 0 1.07684 1961 523.573 0 100 100 0 0 Travis delta-wye
P2UHS0_1247 P2UHS0_1247->P2UDT8078 1471 0 365 19100 4 0 24.567 25.5806 14.2854 0 11.2952 1991 1009.28 0 100 95.0374 3.73895 1.22366 Travis delta-wye
P2UHS0_1247 P2UHS0_1247->P2UDT8122 87 2 53 6425 2 0 2.96195 12.3711 2.63211 0 9.73896 1977 8549.04 0 100 24.7191 49.4382 25.8427 Travis delta-wye
P2UHS0_1247 P2UHS0_1247->P2UDT8249 843 1 232 9555 3 0 19.1516 25.1504 16.664 0 8.48643 2000 1007.73 0 100 96.6825 1.65877 1.65877 Travis delta-wye
P2UHS0_1247 P2UHS0_1247->P2UDT8625 10 0 7 900 0 0 0.210889 2.1439 0 0 2.1439 1987 1479.34 0 100 50 50 0 Travis delta-wye
P2UHS10_1247 P2UHS10_1247->P2UDT3516 33 0 14 400 0 0 1.17734 4.8865 0 0 4.8865 1982 507.699 0 100 96.9697 0 3.0303 Travis delta-wye
P2UHS10_1247 P2UHS10_1247->P2UDT7118 104 0 39 1245 0 0 3.36074 10.4399 0 0 10.4399 1981 1234.7 0 100 91.3462 0.961538 7.69231 Travis delta-wye
P2UHS10_1247 P2UHS10_1247->P2UDT7412 624 0 236 7200 2 0 18.9739 29.3911 22.9574 0 6.43371 1985 542.756 0 100 94.0705 1.28205 4.64744 Travis delta-wye
P2UHS10_1247 P2UHS10_1247->P2UDT7514 759 0 153 7825 2 0 12.6927 10.6457 5.1252 0 5.52053 2005 878.002 0 100 99.8682 0.131752 0 Travis delta-wye
P2UHS10_1247 P2UHS10_1247->P2UDT8564 1007 0 215 11200 3 0 18.376 15.7626 9.98277 0 5.77988 2001 978.521 0 100 98.6097 0.993049 0.397219 Travis delta-wye
P2UHS10_1247 P2UHS10_1247->P2UDT8615 566 0 229 6595 2 0 19.6467 29.9112 21.8669 0 8.04423 1990 808.826 0 100 92.4028 2.65018 4.947 Travis delta-wye
P2UHS11_1247 P2UHS11_1247->P2UDT3455 645 0 196 11350 1 0 10.1974 16.1741 7.42043 0 8.7537 1990 26850.2 0 100 68.062 31.1628 0.775194 Travis delta-wye
P2UHS11_1247 P2UHS11_1247->P2UDT4732 2362 0 260 15125 1 0 14.5586 24.4511 10.4393 0 14.0117 1983 6863.47 0 100 98.5182 0.931414 0.550381 Travis delta-wye
P2UHS11_1247 P2UHS11_1247->P2UDT5729 1039 1 207 10400 2 0 16.1576 12.1031 6.66062 0 5.4425 1984 1506.35 0 100 99.0385 0.961538 0 Travis delta-wye
P2UHS11_1247 P2UHS11_1247->P2UDT7967 1086 0 323 17925 2 0 19.2337 27.461 13.1986 0 14.2623 1992 8676.69 0 100 78.2689 14.6409 7.09024 Travis delta-wye
P2UHS12_1247 P2UHS12_1247->P2UDT5222 1090 0 230 12350 1 0 18.1454 16.4588 11.0743 0 5.38456 2002 1028.71 0 100 97.9817 0.550459 1.46789 Travis delta-wye
P2UHS12_1247 P2UHS12_1247->P2UDT5984 1510 0 258 12800 2 0 18.5274 22.1618 14.645 0 7.51685 2004 918.156 0 100 98.6755 0.264901 1.0596 Travis delta-wye
P2UHS13_1247 P2UHS13_1247->P2UDT6883 625 0 237 7410 2 0 23.7228 25.9638 22.0708 0 3.89294 1980 655.371 0 100 91.84 2.56 5.6 Travis delta-wye
P2UHS1_1247 P2UHS1_1247->P2UDT3475 1031 0 188 9950 1 0 13.8512 11.0834 6.4881 0 4.5953 2002 797.08 0 100 99.903 0 0.0969932 Travis delta-wye
P2UHS1_1247 P2UHS1_1247->P2UDT3615 696 0 216 8295 2 0 15.5471 26.0648 11.3226 0 14.7422 1993 686.643 0 100 91.2356 2.72989 6.03448 Travis delta-wye
P2UHS1_1247 P2UHS1_1247->P2UDT3740 89 0 45 1750 0 0 2.99122 11.5009 5.10639 0 6.39448 1986 1772.36 0 100 52.809 29.2135 17.9775 Travis delta-wye
P2UHS1_1247 P2UHS1_1247->P2UDT4740 204 0 60 3220 1 0 4.3182 17.9056 7.29556 0 10.6101 1990 554.14 0 100 81.8627 0.490196 17.6471 Travis delta-wye
P2UHS1_1247 P2UHS1_1247->P2UDT7154 1659 1 357 16510 4 0 27.4256 28.0866 20.6346 0 7.45204 1996 700.453 0 100 98.0723 0.843373 1.08434 Travis delta-wye
P2UHS2_1247 P2UHS2_1247->P2UDT106 572 0 141 9475 1 0 10.8959 13.6178 6.84372 0 6.77412 1980 4551.23 0 100 93.5315 5.24476 1.22378 Travis delta-wye
P2UHS2_1247 P2UHS2_1247->P2UDT3567 407 1 155 12325 2 0 8.74459 22.6732 9.93491 0 12.7383 1985 2372.44 0 100 74.0196 10.2941 15.6863 Travis delta-wye
P2UHS2_1247 P2UHS2_1247->P2UDT7925 987 0 230 11525 2 0 19.7306 13.7951 7.43951 0 6.35562 1971 1998.3 0 100 96.3526 2.53293 1.11449 Travis delta-wye
P2UHS2_1247 P2UHS2_1247->P2UDT8082 944 1 191 11025 1 0 13.5146 14.7331 6.39265 0 8.34044 1981 1576.4 0 100 98.3069 1.48148 0.21164 Travis delta-wye
P2UHS2_1247 P2UHS2_1247->P2UDT8512 1001 0 126 7375 1 0 9.43935 8.91822 3.79282 0 5.1254 1986 4022.3 0 100 98.3017 1.4985 0.1998 Travis delta-wye
P2UHS2_1247 P2UHS2_1247->P2UDT8516 72 2 39 5025 2 0 2.56519 7.8767 1.5332 0 6.34351 1972 2721.31 0 100 47.2973 16.2162 36.4865 Travis delta-wye
P2UHS3_1247 P2UHS3_1247->P2UDT5611 376 0 141 11935 1 0 12.0115 19.1902 5.95767 0 13.2325 1981 146145 0 100 59.0426 26.5957 14.3617 Travis delta-wye
P2UHS3_1247 P2UHS3_1247->P2UDT8444 923 1 219 20435 2 0 17.27 21.3084 5.76818 0 15.5402 1982 25472.9 0 100 87.8788 9.09091 3.0303 Travis delta-wye
P2UHS4_1247 P2UHS4_1247->P2UDT3496 456 1 124 7670 3 0 7.9329 15.202 5.62401 0 9.57803 2001 1704.46 0 100 90.1532 9.19037 0.656455 Travis delta-wye
P2UHS4_1247 P2UHS4_1247->P2UDT433 171 1 76 5625 3 0 5.96293 12.5085 4.81696 0 7.69152 1978 36445.1 0 100 54.6512 13.3721 31.9767 Travis delta-wye
P2UHS4_1247 P2UHS4_1247->P2UDT5265 86 0 36 1250 0 0 2.34079 8.96939 4.0013 0 4.96809 1972 932.672 0 100 73.2558 5.81395 20.9302 Travis delta-wye
P2UHS4_1247 P2UHS4_1247->P2UDT7573 891 0 195 9000 2 0 14.5438 14.7397 8.88832 0 5.85142 2002 921.584 0 100 98.6532 0.673401 0.673401 Travis delta-wye
P2UHS4_1247 P2UHS4_1247->P2UDT7735 362 0 105 5145 1 0 6.93386 14.3655 4.61202 0 9.7535 1968 4620.13 0 100 83.4254 8.01105 8.56354 Travis delta-wye
P2UHS4_1247 P2UHS4_1247->P2UDT8180 71 0 31 945 0 0 1.87973 6.71081 3.3214 0 3.3894 1978 1623.96 0 100 67.6056 28.169 4.22535 Travis delta-wye
P2UHS5_1247 P2UHS5_1247->P2UDT2008 1037 0 321 20950 2 0 22.0168 34.132 13.5856 0 20.5464 1973 3536.84 0 100 76.0849 13.7898 10.1254 Travis delta-wye
P2UHS5_1247 P2UHS5_1247->P2UDT7035 2975 1 504 31950 3 0 38.3636 32.6021 14.8886 0 17.7135 1987 4097.48 0 100 96.9086 1.84812 1.24328 Travis delta-wye
P2UHS5_1247 P2UHS5_1247->P2UDT7295 693 1 194 10050 0 0 12.6508 12.9707 6.34221 0 6.62853 1978 2620.27 0 100 92.219 3.7464 4.03458 Travis delta-wye
P2UHS6_1247 P2UHS6_1247->P2UDT1124 1758 0 394 21675 2 0 25.0781 29.9966 13.6308 0 16.3658 1990 3190.35 0 100 85.7793 10.9784 3.24232 Travis delta-wye
P2UHS6_1247 P2UHS6_1247->P2UDT6420 2506 2 377 23500 1 0 19.9436 34.2312 12.1451 0 22.0861 1982 3558.16 0 100 97.2887 1.47528 1.23604 Travis delta-wye
P2UHS7_1247 P2UHS7_1247->P2UDT2957 983 0 180 9340 2 0 13.7872 18.2598 10.9278 0 7.33198 2005 755.685 0 100 97.8637 0.712106 1.42421 Travis delta-wye
P2UHS7_1247 P2UHS7_1247->P2UDT3821 425 1 89 4170 1 0 7.51427 12.9628 5.97155 0 6.99129 2003 1201.59 0 100 91.3146 0.938967 7.74648 Travis delta-wye
P2UHS8_1247 P2UHS8_1247->P2UDT4184 1133 1 253 11995 2 0 16.347 24.7203 19.8748 0 4.84546 1995 1328.49 0 100 97.0018 1.0582 1.94004 Travis delta-wye
P2UHS8_1247 P2UHS8_1247->P2UDT5538 29 0 18 1150 0 0 0.920662 6.84143 2.54199 0 4.29944 1975 3543.45 0 100 31.0345 44.8276 24.1379 Travis delta-wye
P2UHS8_1247 P2UHS8_1247->P2UDT6424 149 3 80 9510 4 0 2.47777 14.9687 3.79338 0 11.1753 1988 5829.99 0 100 23.6842 61.8421 14.4737 Travis delta-wye
P2UHS8_1247 P2UHS8_1247->P2UDT6561 237 0 113 7175 0 0 4.42121 7.26625 1.211 0 6.05525 1999 39440.5 0 100 0 100 0 Travis delta-wye
P2UHS9_1247 P2UHS9_1247->P2UDT3330 159 0 51 4050 0 0 3.58245 5.06236 2.16996 0 2.8924 1976 7714.01 0 100 47.7987 47.7987 4.40252 Travis delta-wye
P2UHS9_1247 P2UHS9_1247->P2UDT3884 263 2 94 11575 3 0 5.97957 15.3066 4.95582 0 10.3508 1994 4031.71 0 100 71.6981 21.5094 6.79245 Travis delta-wye
P2UHS9_1247 P2UHS9_1247->P2UDT5858 119 1 51 5600 1 0 1.95432 5.64794 1.34955 0 4.29839 1986 8382.04 0 100 0 87.5 12.5 Travis delta-wye
P2UHS9_1247 P2UHS9_1247->P2UDT8056 513 1 99 6225 2 0 6.87224 9.38667 4.20585 0 5.18082 2006 1284.76 0 100 98.249 1.36187 0.389105 Travis delta-wye
