feeder_name,feeder_type,mv_len_mi,mv_3ph_len_mi,mv_oh_3ph_len_mi,mv_2ph_len_mi,mv_oh_2ph_len_mi,mv_1ph_len_mi,mv_oh_1ph_len_mi,perct_mv_oh_len,ratio_mv_len_to_num_cust,max_sub_node_distance_mi,nominal_medium_voltage_class,lv_len_mi,lv_3ph_len_mi,lv_oh_3ph_len_mi,lv_1ph_len_mi,lv_oh_1ph_len_mi,max_len_secondaries_mi,lv_2ph_len_mi,lv_oh_2ph_len_mi,perct_lv_oh_len,ratio_lv_len_to_num_cust,num_regulators,num_capacitors,num_boosters,avg_regulator_sub_distance_mi,avg_capacitor_sub_distance_mi,num_fuses,num_reclosers,num_sectionalizers,num_sectionalizers_per_recloser,avg_recloser_sub_distance_mi,num_breakers,num_switches,num_interruptors,num_links_adjacent_feeders,num_loops,num_distribution_transformers,num_overloaded_transformers,sum_distribution_transformer_mva,num_1ph_transformers,num_3ph_transformers,ratio_1ph_to_3ph_transformers,substation_name,substation_capacity_mva,sum_load_kw,sum_load_pha_kw,sum_load_phb_kw,sum_load_phc_kw,sum_load_kvar,perct_lv_pha_load_kw,perct_lv_phb_load_kw,perct_lv_phc_load_kw,num_lv_1ph_loads,num_lv_3ph_loads,num_mv_3ph_loads,avg_num_load_per_transformer,avg_load_pf,avg_load_imbalance_by_phase,num_customers,cust_density,load_density_kw,load_density_kvar,kva_density,avg_degree,avg_path_len,diameter
p5uhs16_1247->p5udt385,,21.297589692501077,7.5665190678229335,2.7780567217613,0.0,0.0,13.731070624678168,4.505411805548701,13.458619971691995,0.011760126831861445,2.2244095311400405,12470.0,32.819909297956976,0.4477253881586901,0.0,0.0,0.0,0.0847881234743,32.372183909798274,7.357728084636914,13.595839094364322,0.018122534123664814,0,2,,,1.318793457696145,72,0,0,,,0,959,,2,0,652,0,31.324999999999832,625,27,23.14814814814815,p5uhs16_1247,,12552.62355400008,6026.226127000028,6026.226127000028,500.17130000000003,2553.836507724525,48.007702143506826,48.007702143506826,3.984595712986342,0,31,0,2.6467576791808876,0.9797805647840533,0.5869747524069381,1811.0,498662.4672362158,3456389.967821709,703203.9833571687,8625401.317600429,1.9996027805362462,124.25054037707443,308
p5uhs0_1247->p5udt3610,,13.056070504180317,6.669531442183833,4.4874957533686,0.0,0.0,6.386539061996498,3.6273235516971996,32.33557132919073,0.016738551928436304,1.45882700880662,12470.0,12.039571760659456,0.36455064827218014,0.0,0.0,0.0,0.0908007578187,11.67502111238728,4.024415883908761,16.036313561686224,0.015435348411101866,0,3,,,1.35375892660208,51,0,0,,,0,272,,2,0,278,0,16.20000000000003,245,33,7.424242424242424,p5uhs0_1247,,12011.32674790003,4653.2920072833085,4653.2920072833085,2704.742733333335,3216.910195146801,43.74838969037126,43.74838969037126,12.50322061925748,0,36,3,2.6947791164658637,0.9780366795366796,0.21630130901685488,780.0,352133.012650757,5422544.453423918,1452282.4082615096,7313531.8012080435,1.999035214664737,56.51851437958529,141
p5uhs2_1247->p5udt6874,,21.478791175702405,11.190974899149483,4.33135987299678,0.0,0.0,10.287816276552922,3.3787263740736995,15.364494304426577,0.012509488162901808,6.155382426181638,12470.0,28.70239991529998,1.1281428882240503,0.0,0.0,0.0,0.08883933812009999,27.574257027075927,5.879811434028783,11.717161960874714,0.01671659866936516,0,1,,,3.5009425249708896,88,0,0,,,0,1043,,2,0,726,0,36.32499999999975,650,76,8.552631578947368,p5uhs2_1247,,14622.565572600051,6615.035819633339,6615.035819633339,1392.4939333333336,3002.830493328132,45.238544404469586,45.238544404469586,9.522911191060823,0,94,0,2.302066772655008,0.9796823117338005,0.47620844284544805,1717.0,551752.7238178378,4698916.938781025,964950.4390547808,11672928.184439614,1.9996052891257154,112.44182732279675,286
p5uhs6_1247->p5udt7214,,11.613221423054,8.92471708749014,5.196415690333002,0.0,0.0,2.68850433556386,1.8866593224608,37.12001630699234,0.02070092945285918,1.5341076278155703,12470.0,7.468330034830346,2.2560058674537307,0.0,0.0,0.0,0.0743897904748,5.212324167376622,1.99594858913448,10.460095938948244,0.013312531256382078,0,1,,,0.8549167886687302,39,0,0,,,0,282,,2,0,277,0,31.274999999999967,152,125,1.216,p5uhs6_1247,,14443.997907100007,5222.126753549992,5222.126753549992,3999.7444,2936.7206806751783,36.66021465232041,36.66021465232041,26.67957069535918,0,201,2,2.004291845493562,0.9799689839572193,0.11283878248594126,561.0,333843.66949647194,8595431.84225602,1747603.5798980007,18611338.25936212,1.9987995198079231,49.8984126984127,122
p5uhs6_1247->p5udt3745,,17.584279560440745,11.970360563090605,6.951811569648698,0.0,0.0,5.613918997350152,2.01215933210105,26.804644835954157,0.016058702794923056,1.98885462633475,12470.0,15.857577090187254,1.5248608381943995,0.0,0.0,0.0,0.11955863412213001,14.332716251992855,4.173116358116353,12.478722104796734,0.014481805561814843,0,1,,,1.0207608763389,78,0,0,,,0,529,,1,0,468,0,36.2499999999999,350,118,2.9661016949152543,p5uhs6_1247,,13849.108324199977,5557.672128766648,5557.672128766648,2733.7640666666666,2849.4870513344586,40.13018021568334,40.13018021568334,19.73963956863332,0,153,0,2.318295739348371,0.9788866300366299,0.27187387529399965,1095.0,460816.6968188002,5828219.499400532,1199170.0553642814,15255347.269115489,1.9993650793650795,64.20968813480722,176
p5uhs16_1247->p5udt746,,22.681685666307157,9.973926248245427,5.1177039973636695,0.0,0.0,12.707759418061709,4.618894158294899,20.21685444810633,0.015535401141306271,1.7675231584815705,12470.0,25.479110963311836,0.97807378225186,0.0,0.0,0.0,0.08091752895078,24.501037181059985,5.365574344901048,11.140958456657273,0.017451445865282078,0,1,,,1.2195442446102198,76,0,0,,,0,802,,1,0,590,0,28.649999999999892,530,60,8.833333333333334,p5uhs16_1247,,13007.904518200095,5744.160475766684,5744.160475766684,1519.583566666667,2729.2690112632035,45.4518979909474,45.4518979909474,9.096204018105182,0,78,1,2.391472868217054,0.9780904794520549,0.4330266419354638,1460.0,498058.93107247184,4437467.8217996685,931052.6070951872,9773553.681661826,1.9995293010120028,90.04116954072278,247
p5uhs2_1247->p5udt2335,,13.222249262271102,6.673247371251741,3.7729013942950997,0.0,0.0,6.549001891019359,3.2835236376797003,24.614897112824416,0.012108286870211633,2.0343345096635495,12470.0,15.445045179916052,0.6982459762167202,0.0,0.0,0.0,0.0871864912601,14.746799203699338,4.139081277329278,14.438339431286382,0.014143814267322393,0,2,,,0.9192410586653399,51,0,0,,,0,440,,0,0,397,0,25.799999999999947,339,58,5.844827586206897,p5uhs2_1247,,11730.245969899968,4948.44555161664,4948.44555161664,1833.354866666666,2460.650279892477,43.775331396840244,43.775331396840244,12.449337206319507,0,70,2,2.7005649717514126,0.978608095676173,0.3540807462399168,1092.0,588485.1640104287,6321497.915274041,1326058.7761307983,13903770.358488122,1.9993069993069994,64.95615047122845,177
p5uhs1_1247->p5udt6125,,7.424918447012154,6.099546226960358,4.140118152903268,0.0,0.0,1.3253722200517903,0.7108259303698,38.81492242783595,0.019905947579121057,1.32202700713619,12470.0,5.07270818689871,1.3324818662555606,0.0,0.0,0.0,0.091746049521,3.7402263206431487,1.48174391071811,11.85620241444539,0.013599753852275362,0,1,,,0.9547650624288999,32,0,0,,,0,171,,0,0,200,0,22.074999999999985,124,76,1.631578947368421,p5uhs1_1247,,16727.111744599995,5916.135538966663,5916.135538966663,4894.840666666666,3526.9331881872736,37.23599855861744,37.23599855861744,25.528002882765126,0,118,7,1.8641975308641976,0.9777782258064518,0.0814083457557818,373.0,271386.9919117525,12170296.353186967,2566122.7576833004,16061307.899334937,1.9981998199819981,41.79126020710179,110
p5uhs5_1247->p5udt3577,,13.998240109249693,6.698721065699193,5.272391579994982,0.0,0.0,7.2995190435505135,3.3445628496872195,28.80750926171467,0.014211411278426084,3.1714221577068,12470.0,15.91394129941578,1.0883717701795204,0.0,0.0,0.0,0.08315416629269999,14.825569529236262,4.680090042786358,15.646100760242613,0.01615628558316323,0,2,,,2.29397254275539,51,0,0,,,0,376,,0,0,345,0,22.799999999999976,293,52,5.634615384615385,p5uhs5_1247,,12729.502771700021,5083.79591918331,5083.79591918331,2561.9109333333327,2757.4122776148306,42.631939948233445,42.631939948233445,14.736120103533118,0,74,5,2.745928338762215,0.9790553407934895,0.26415119072381105,985.0,484596.2922270832,6262608.979756557,1356580.472968105,11217051.231246177,1.9992277992277991,55.83333109636702,155
p5uhs1_1247->p5udt4788,,5.5772188811989185,4.76616467142019,3.3417389546132004,0.0,0.0,0.8110542097787301,0.7007714640817,49.21710935554049,0.03205298207585585,1.7152066531526897,12470.0,2.636409411133582,0.9714313262618599,0.0,0.0,0.0,0.05530275843149,1.6649780848717208,0.8017008301762197,9.760617374475236,0.015151778224905642,0,1,,,1.0463631013777002,15,0,0,,,0,81,,1,0,95,0,15.62500000000001,49,46,1.065217391304348,p5uhs1_1247,,10290.349092499988,3562.5860462499986,3562.5860462499986,3165.1770000000006,2104.6028947317586,35.54770850316942,35.54770850316942,28.90458299366116,0,72,4,1.7721518987341771,0.9772069364161851,0.051492784508110664,174.0,115627.54995450309,6838206.055990333,1398563.6571551047,10383221.080684552,1.9962264150943396,32.298270143025285,82
