Name,Total Real Load,Total Reactive Load,kV,Latitude,Longitude,Connection Node
p5uhs16_1247,25560528.072200242,5283105.518987696,69.0,30.291952914352215,-97.76823743311503,p5uhs16_69
p5uhs0_1247,28145432.147499356,6558822.139081139,69.0,30.278195574079177,-97.72014076285285,p5uhs0_69
p5uhs2_1247,26352811.54250011,5463480.773220612,69.0,30.284164203303092,-97.75539794339927,p5uhs2_69
p5uhs6_1247,43154802.28489979,10430176.224811671,69.0,30.294848890779402,-97.7397813301428,p5uhs6_69
p5uhs1_1247,47795024.88250011,10350440.649405736,69.0,30.275521413106883,-97.7441128788652,p5uhs1_69
p5uhs5_1247,48559267.69269827,10332435.607670428,69.0,30.25263364449508,-97.75498429295274,p5uhs5_69
p5uhs3_1247,79208544.1486997,16777772.52922444,69.0,30.26807582611316,-97.73910234675799,p5uhs3_69
p5uhs9_1247,32298715.656000488,6614805.936732005,69.0,30.23616641141518,-97.72626465716404,p5uhs9_69
p5uhs4_1247,38334033.27209973,8354720.139938695,69.0,30.294534991598937,-97.72841464483638,p5uhs4_69
p5uhs26_1247,28504072.269899756,5978780.506376307,69.0,30.28258438072349,-97.70062529196149,p5uhs26_69
p5uhs7_1247,35881145.26429912,7785712.6863636635,69.0,30.258823996585136,-97.71786857291976,p5uhs7_69
p5uhs25_1247,20178164.536000088,4109384.140158189,69.0,30.264605696343107,-97.78596965077209,p5uhs25_69
p5uhs19_1247,42767275.500998676,8930993.223664166,69.0,30.315904471943956,-97.71883747785569,p5uhs19_69
p5uhs27_1247,22023659.608000282,4497504.206906594,69.0,30.372454970886174,-97.79498085994595,p5uhs27_69
p5uhs15_1247,30650759.577000573,6294770.827205366,69.0,30.377746659454946,-97.75880704124742,p5uhs15_69
p5uhs11_1247,27067417.36600019,5538619.012788345,69.0,30.302611278608012,-97.83480656875241,p5uhs11_69
p5uhs28_1247,39412537.39799954,8017287.629245817,69.0,30.347583806282156,-97.7733962252008,p5uhs28_69
p5uhs24_1247,21665623.120000247,4476424.735274758,69.0,30.328771728342318,-97.80542092515431,p5uhs24_69
p5uhs13_1247,13775002.212999858,2829229.775632779,69.0,30.328387389323293,-97.76125000251058,p5uhs13_69
p5uhs10_1247,11633526.529999938,2379208.4544449537,69.0,30.367871196310244,-97.75729194836454,p5uhs10_69
p5uhs17_1247,46115747.88200003,9687772.93332407,69.0,30.355244902930103,-97.7275549534915,p5uhs17_69
p5uhs14_1247,23410899.930000193,4769808.121441126,69.0,30.352745812698714,-97.7457671232336,p5uhs14_69
p5uhs18_1247,39296447.06499988,8180724.163409324,69.0,30.326948423137303,-97.74375742635276,p5uhs18_69
p5uhs12_1247,24057555.904000223,5119032.8864170965,69.0,30.290968997359453,-97.79507160325181,p5uhs12_69
p5uhs20_1247,14016996.203999955,3258123.095172149,69.0,30.317669965188475,-97.76331360991796,p5uhs20_69
p5uhs21_1247,41590055.99300017,9036421.545128286,69.0,30.35988552593998,-97.70683678252259,p5uhs21_69
p5uhs29_1247,22034725.43999997,4823598.886273796,69.0,30.329542082227572,-97.7200310211122,p5uhs29_69
p5uhs8_1247,40111128.57400016,8417216.61511652,69.0,30.33718374288053,-97.70563536780364,p5uhs8_69
p5uhs23_1247,26399545.623999964,6742124.7518177265,69.0,30.346852371903992,-97.6766294857171,p5uhs23_69
p5uhs22_1247,37750653.76200062,7915898.613983148,69.0,30.3214933545607,-97.6829885741791,p5uhs22_69
p5uhs30_1247,20667785.613000005,4238085.888110828,69.0,30.304490227088472,-97.6833739905608,p5uhs30_69
